Gene,A,N,A2,nonNE
ASCL1,1,0,1,0
FOXA1,1,0,1,0
FOXA2,1,0,1,0
ELF3,1,0,1,0
RBPJ,1,0,1,0
FLI1,1,0,1,0
SMAD4,1,0,1,0
NROB2,1,0,1,0
NROB1,0,.5,1,0
BCL3,0,0,1,1
STAT6,0,0,1,1
ISL1,1,0,1,0
SOX11,1,0,1,0
CEBPD,0.5,0,0.5,0.5
EBF1,0.5,1,0.5,0
TCF4,1,1,0,0
RCOR2,1,1,0,0
TCF3,1,1,0,0
NEUROD2,0,1,0,0
OLIG2,0,1,0,0
MITF,0,1,0,1
SIX5,0,1,0,1
TEAD4,0,1,0,1
ZNF217,0,1,0,1
KLE2,0.5,0,0,1
GATA4,0,0,0,1
REST,0,0,0,1
